#separator:;
#html:true
#deck:Physique PHYSH1002
#tags column:3
Recto;Verso;Tags
Qu'est-ce que le <b>gradient</b> d'un champ scalaire ?;Un <b>vecteur</b> pointant dans la direction de croissance maximale, perpendiculaire aux courbes de niveau.<br><br>$$\vec{\text{grad}}\, f = \frac{\partial f}{\partial x}\hat{x} + \frac{\partial f}{\partial y}\hat{y} + \frac{\partial f}{\partial z}\hat{z}$$;ch1_gradient
Quelle est la formule du gradient en coordonnées <b>cylindriques</b> ?;$$\vec{\text{grad}}\, f = \frac{\partial f}{\partial r}\hat{r} + \frac{1}{r}\frac{\partial f}{\partial \theta}\hat{\theta} + \frac{\partial f}{\partial z}\hat{z}$$;ch1_gradient
Quelle est la formule de la <b>dérivée directionnelle</b> ?;$$\frac{\partial f}{\partial \vec{u}} = \vec{\text{grad}}\, f \cdot \vec{u}$$<br>C'est la projection du gradient sur la direction $\vec{u}$ (unitaire).;ch1_gradient
Que vaut le <b>rotationnel d'un gradient</b> ?;$$\text{rot}(\vec{\text{grad}}\, f) = \vec{0}$$<br>Toujours nul → un champ dérivant d'un potentiel est <b>conservatif</b>.;ch1_gradient ch2_flux
Qu'est-ce que la <b>circulation</b> d'un champ vectoriel ?;L'intégrale de ligne du champ le long d'un contour :<br>$$\mathcal{C} = \oint_C \vec{A} \cdot d\vec{\ell}$$<br>Mesure l'entraînement du champ le long du chemin.;ch2_flux
Énoncer le <b>théorème de Stokes</b>.;$$\oint_C \vec{A} \cdot d\vec{\ell} = \iint_{S_C} \text{rot}\,\vec{A} \cdot d\vec{S}$$<br>La circulation sur un contour fermé = flux du rotationnel à travers la surface bordée.;ch2_flux
Qu'est-ce que le <b>flux</b> d'un champ vectoriel ?;La quantité de champ traversant une surface :<br>$$\Phi = \iint_S \vec{A} \cdot d\vec{S}$$;ch2_flux
Énoncer le <b>théorème de la divergence</b> (Gauss).;$$\oiint_S \vec{A} \cdot d\vec{S} = \iiint_V \text{div}\,\vec{A}\, dV$$<br>Le flux à travers une surface fermée = intégrale volumique de la divergence.;ch2_flux
Que vaut la <b>divergence d'un rotationnel</b> ?;$$\text{div}(\text{rot}\,\vec{A}) = 0$$<br>Toujours nulle.;ch2_flux
Quelle est l'<b>équation de continuité</b> (conservation de la charge) ?;$$\frac{\partial \rho}{\partial t} + \text{div}\,\vec{J} = 0$$<br>La charge est conservée localement.;ch2_flux ch4_maxwell
Donner les <b>4 équations de Maxwell</b> sous forme locale.;1. $\text{div}\,\vec{E} = \rho/\varepsilon_0$ (Gauss E)<br>2. $\text{div}\,\bar{B} = 0$ (Gauss B)<br>3. $\text{rot}\,\vec{E} = -\partial_t\bar{B}$ (Faraday)<br>4. $\text{rot}\,\bar{B} = \mu_0\vec{J} + \mu_0\varepsilon_0\partial_t\vec{E}$ (Ampère-Maxwell);ch4_maxwell
Quelle est la <b>force de Lorentz</b> ?;$$\vec{F}_L = q(\vec{E} + \vec{v} \times \bar{B})$$<br>La composante magnétique est toujours ⊥ à $\vec{v}$ → ne fournit <b>pas de travail</b>.;ch3_faraday
Énoncer la <b>loi de Faraday</b> (forme intégrale).;$$\mathcal{E} = -\frac{d\Phi_B}{dt}$$<br>L'é.m.f. induite est l'opposé de la variation de flux magnétique.;ch3_faraday
Comment se transforme $\vec{E}$ lors d'un changement de repère <b>galiléen</b> ?;$$\vec{E}' = \vec{E} + \vec{u}_0 \times \bar{B}$$<br>$\bar{B}' \approx \bar{B}$ (pour $u_0 \ll c$).;ch3_faraday
